3,0.240,0.120,0.024
10,0.264,0.168,0.384
15,0.432,0.216,0.360
19,0.456,0.552,0.384
23,0.552,0.456,0.648
31,0.720,0.600,0.480
38,0.984,0.888,0.768
48,1.200,1.104,1.080
60,1.488,1.248,1.368
72,1.728,1.824,1.584
86,2.184,1.968,1.896
100,2.496,2.232,2.088
115,2.568,2.832,2.376
134,2.784,3.336,3.048
165,3.336,3.720,4.056
209,4.920,4.032,4.440
270,5.904,5.352,4.848
330,6.216,5.616,6.864
