4,0.264,0.144,0.072
9,0.528,0.360,0.240
15,0.528,0.888,0.696
20,0.936,0.792,1.080
30,1.224,1.488,1.296
38,1.536,1.776,1.608
50,2.112,1.968,1.824
60,2.496,2.280,2.184
72,3.000,2.832,2.712
87,3.360,3.240,3.480
100,3.648,3.768,3.984
114,4.440,4.152,4.200
135,5.088,4.968,4.728
164,6.096,5.760,5.448
210,6.480,7.248,6.840
270,8.760,7.752,8.256
330,9.552,9.000,10.056
